"Assignment","Class","Method","Antipattern","Confirmed","Explanation","Evidence"
"assignment-2-184","ItemCart","remove","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `remove` method of the `ItemCart` class exhibits high complexity, with an average complexity score of 30.7 and a total of 10 cases across 3 switches. The presence of complex logic and the classification as a state machine further indicate that the switch is not straightforward. Given these factors, refactoring with polymorphism could simplify the code, enhance maintainability, and improve readability by replacing the switch logic with a more object-oriented approach","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""remove"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""ItemCart"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 4.0,
      ""complexityScore"": 48.0
    },
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    },
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""30.7"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void remove(int id)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""3"",
  ""avgCasesPerSwitch"": ""3.3"",
  ""totalCases"": ""10""
}"
"assignment-2-69","BurgerShop","confirmOrder","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `confirmOrder` method of the `BurgerShop` class exhibits high complexity, as indicated by the complexity score of 18.0 and the presence of complex logic within the cases. With a total of 4 cases across 2 switches, the average complexity is also significant. Given that the guidelines suggest that switches with complex logic are likely candidates for refactoring, and considering the suggestion to review for potential polymorphism replacement, it would be prudent to","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""confirmOrder"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    },
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void confirmOrder()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""2"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""4""
}"
"assignment-2-62","BurgerShop","addCombo","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `addCombo` method of the `BurgerShop` class exhibits complex logic with a complexity score of 23.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that it is identified as a state machine pattern, this suggests that the logic could be better managed using the State pattern, which would enhance maintainability and readability. Refactoring to use polymorphism would allow for cleaner code, easier testing, and","{
  ""overallPattern"": ""STATE_MACHINE"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""State machine pattern detected - consider State pattern"",
  ""methodName"": ""addCombo"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 23.0
    }
  ],
  ""avgComplexityScore"": ""23.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addCombo(String nameBurger, float priceBurger, String nameSnack, float priceSnack, String nameDrink, float priceDrink, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-61","Cart","calculateEstSec","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `calculateEstSec` method exhibits complex logic, as indicated by the high complexity scores (78.0 and 47.0) and the overall pattern identified as a state machine. With a total of 7 cases and an average complexity score of 62.5, the switch statement is not only complex but also indicates a potential violation of the Single Responsibility Principle. Refactoring this switch statement into a state pattern or using polymorphism would enhance maintain","{
  ""overallPattern"": ""STATE_MACHINE"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""State machine pattern detected - consider State pattern"",
  ""methodName"": ""calculateEstSec"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Cart"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""COMPLEX_LOGIC"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 4.0,
      ""complexityScore"": 78.0
    },
    {
      ""contentPattern"": ""COMPLEX_LOGIC"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 47.0
    }
  ],
  ""avgComplexityScore"": ""62.5"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""COMPLEX_LOGIC"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""private int calculateEstSec()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""2"",
  ""avgCasesPerSwitch"": ""3.5"",
  ""totalCases"": ""7""
}"
"assignment-2-175","Item","SizeCost","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `SizeCost` method exhibits complex logic and has a complexity score of 18.0, which indicates that it is not a simple mapping and involves more than just straightforward case handling. Given that it has complex logic and is not a simple switch with only a few cases, it suggests that the current implementation may benefit from refactoring to use polymorphism. This could improve maintainability and readability by encapsulating the behavior associated with different cases into separate classes","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""SizeCost"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Item"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""protected float SizeCost(float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-175","Combo","SizeCost","SwitchComplexity","YES","Answer: YES: The switch statement in the `SizeCost` method exhibits complex logic with a complexity score of 27.0 and is identified as a state machine pattern. Given that it has more than 3 cases and involves complex logic, it suggests that the switch statement could become difficult to maintain and extend. Refactoring to use the State pattern would enhance readability, reduce complexity, and improve the overall design by leveraging polymorphism.","{
  ""overallPattern"": ""STATE_MACHINE"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""State machine pattern detected - consider State pattern"",
  ""methodName"": ""SizeCost"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Combo"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 27.0
    }
  ],
  ""avgComplexityScore"": ""27.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""private float SizeCost(float priceBurger, float priceSnack, float priceDrink, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-54","Drink","setPrice","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `setPrice` method of the `Drink` class exhibits complex logic, as indicated by the complexity score of 17.0 and the presence of multiple cases (3 total). Given that the switch is categorized as having complex logic and is not a simple mapping, it suggests that the logic could be difficult to maintain and extend. Refactoring this switch statement to use polymorphism could improve code readability, reduce complexity, and enhance maintainability by encapsulating","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""setPrice"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Drink"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""public void setPrice()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-54","Snack","setPrice","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `setPrice` method of the `Snack` class exhibits complex logic with a complexity score of 17.0, which indicates that it is not a simple dispatch. Given that there are 3 cases and the presence of complex logic, this suggests that the switch statement may be handling multiple states or behaviors that could be better represented using polymorphism. Refactoring to use polymorphism could improve code readability, maintainability, and extensibility by encapsulating","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""setPrice"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Snack"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""public void setPrice()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-53","Order","setCount","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `setCount` method exhibits complex logic with a high complexity score of 28.0 and contains 4 cases, which indicates that it is not a simple mapping. Given that the overall pattern is classified as ""MIXED_LOGIC"" and the suggestion is to review for potential polymorphism replacement, it suggests that the current implementation may be difficult to maintain and understand. Refactoring this switch statement into a polymorphic design could enhance readability, reduce","{
  ""overallPattern"": ""MIXED_LOGIC"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""setCount"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Order"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""MIXED_LOGIC"",
      ""hasComplexLogic"": true,
      ""caseCount"": 4.0,
      ""complexityScore"": 28.0
    }
  ],
  ""avgComplexityScore"": ""28.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""public void setCount(char type, String size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""4.0"",
  ""totalCases"": ""4""
}"
"assignment-2-53","Food","chooseSize","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `chooseSize` method exhibits complex logic with a complexity score of 17.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that the switch has 3 cases and is categorized as having complex logic, it suggests that the current implementation may be difficult to maintain and extend. Refactoring this switch statement to use polymorphism could enhance code readability, reduce complexity, and improve maintainability by encapsulating behavior in","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""chooseSize"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Food"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""protected void chooseSize(SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-280","CartItems","setPrice","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `setPrice` method exhibits complex logic and has a complexity score of 18.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that it has only 2 cases but is classified as having complex logic, this suggests that the current implementation may be difficult to maintain and extend. Refactoring with polymorphism could simplify the code by encapsulating the behavior associated with each case into separate classes, thereby enhancing readability","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""setPrice"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""CartItems"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""public void setPrice()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-49","BurgerShop; Cart","clearCart; removeItem","PotentialMissingInheritanceGroup","YES","Answer: YES: The presence of multiple methods with similar names and functionality in different classes (BurgerShop and Cart) suggests a lack of a proper inheritance hierarchy. This indicates that there may be an opportunity to refactor the code to promote code reuse and maintainability by introducing a common ancestor or interface that encapsulates the shared behavior. The absence of a common ancestor and the weak relationship between the classes further support the need for a design improvement.","{
  ""details"": ""Multiple methods suggest missing inheritance hierarchy"",
  ""methodExamples"": ""public void clearCart() | public void removeItem(int posCart)"",
  ""similarityScore"": ""0"",
  ""sharedMethodNames"": ""clearCart; removeItem"",
  ""weaklyRelated"": ""true"",
  ""hasCommonAncestor"": ""false"",
  ""classes"": ""BurgerShop; Cart"",
  ""sharedMethodsCount"": ""2"",
  ""methodSignatures"": ""void clearCart(); void removeItem(int)""
}"
"assignment-2-281","BurgerShop","missedCombo","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `missedCombo` method of the `BurgerShop` class exhibits complex logic and has a high complexity score of 22.0, which indicates that it is not straightforward and may lead to maintenance challenges. Additionally, the presence of mixed content patterns and the fact that it is not a simple mapping further suggest that the logic could be better organized. Refactoring this switch statement to use polymorphism could enhance code readability, reduce complexity, and make it","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""missedCombo"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    },
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public boolean missedCombo()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""2"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""6""
}"
"assignment-2-161","BurgerShop","confirmOrder","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `confirmOrder` method of the `BurgerShop` class exhibits high complexity, with a complexity score of 31.0 and 4 cases, indicating that it likely contains complex logic. Given that it follows a state machine pattern, it suggests that the logic could be better managed using the State pattern, which would enhance maintainability and readability. Refactoring to use polymorphism would help eliminate the need for the switch statement, making the code cleaner and","{
  ""overallPattern"": ""STATE_MACHINE"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""State machine pattern detected - consider State pattern"",
  ""methodName"": ""confirmOrder"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 4.0,
      ""complexityScore"": 31.0
    }
  ],
  ""avgComplexityScore"": ""31.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void confirmOrder()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""4.0"",
  ""totalCases"": ""4""
}"
"assignment-2-278","BurgerShop","findNewPrice","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `findNewPrice` method exhibits complex logic and has a complexity score of 18.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that there are only 2 cases, the complexity suggests that the logic may be better handled through polymorphism, which can enhance maintainability and readability. Additionally, the suggestion to review for potential polymorphism replacement aligns with the findings, indicating that refactoring could simplify the","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""findNewPrice"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public float findNewPrice(float originalPrice, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-274","Burger","","RedundantInheritance","YES","Answer: YES: The inheritance is redundant because the `Burger` class inherits from the `Item` class but does not override or utilize any of the methods or properties from the `Item` class. This suggests that the `Burger` class does not benefit from the inheritance, making it unnecessary.","{
  ""severity"": ""HIGH"",
  ""parentClass"": ""Item"",
  ""details"": ""Class inherits but does not override/reuse superclass methods"",
  ""childClass"": ""Burger""
}"
"assignment-2-153","Food","","RedundantInheritance","YES","Answer: YES: The inheritance is redundant because the child class ""Food"" does not override or utilize any methods or features from the parent class ""BurgerShop."" This indicates that the child class does not benefit from the inheritance, making it unnecessary.","{
  ""severity"": ""HIGH"",
  ""parentClass"": ""BurgerShop"",
  ""details"": ""Class inherits but does not override/reuse superclass methods"",
  ""childClass"": ""Food""
}"
"assignment-2-154","MenuItems","priceWithSize","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `priceWithSize` method exhibits complex logic and has a complexity score of 18.0, which indicates that it is not a simple mapping and involves more than just straightforward case handling. Given that it has only 2 cases but is classified as having complex logic, this suggests that the logic within each case may be intricate or involve significant processing. 

Additionally, the suggestion to ""Review for potential polymorphism replacement"" implies that there may be a","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""priceWithSize"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""MenuItems"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public float priceWithSize(float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-155","Drink","getTrueCost","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `getTrueCost` method exhibits complex logic and has a complexity score of 17.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that it has 3 cases and is categorized as a ""STATE_CHANGE,"" it suggests that the logic may be better represented using polymorphism, such as through a state machine or strategy pattern. This would enhance maintainability and readability, reducing the risk of errors associated with","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""getTrueCost"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Drink"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""private void getTrueCost()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-155","Snack","getTrueCost","SwitchComplexity","YES","**Answer: YES**: The switch statement in the `getTrueCost` method exhibits complex logic and has a complexity score of 17.0, which indicates that it is not a simple mapping and involves more intricate decision-making. Given that it has 3 cases and is categorized as a state change, it suggests that the logic could be better managed through polymorphism, potentially improving maintainability and readability. Refactoring to use polymorphism could simplify the code structure and reduce the complexity associated with the","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""getTrueCost"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Snack"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""private void getTrueCost()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
