"Student","Class","Method","IssueType","Severity","Details"
"escaipe-room-beta-and-final-team-32","BottomLeftButton","cycle","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","TopRightButton","cycle","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","ChatController","thinkBubble","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","SceneManager","convertUiType","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","DifficultyController","deselectDifficultyBoxes","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","DifficultyController","deselectTimeBoxes","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","LabController","convertRecipe","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","LabController","onClickChemical","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","LabController","onMouseEnterChemical","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-10","LabController","onMouseExitChemical","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-35","LetterGenerator","generateVowels","Switch Complexity","HIGH","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-35","IntroController","onClickTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-35","TileGameDeskController","setImage","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-35","PlayerController","detectDifficulty","Redundant Override","MEDIUM","Identical to parent method"
"escaipe-room-beta-and-final-team-13","GptPromptEngineering","getHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-13","CardinalPuzzleController","flashLight","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-13","CardinalPuzzleController","startNextRound","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 10 total cases, avg 10.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-13","CardinalPuzzleController","handleKeyPress","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-13","ChatController","updateBackground","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 11 total cases, avg 11.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-34","LockerController","responseLoading","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-34","GymnasiumController","responseLoading","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-34","RoomController","responseLoading","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-34","HallwayController","responseLoading","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-26","ChatHandler","appendChatMessage","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-26","RoomController","itemSelect","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 15 total cases, avg 15.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-26","RoomController","addItem","Switch Complexity","HIGH","Method contains 1 switch(es) with 15 total cases, avg 15.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-26","BookController","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 15 total cases, avg 15.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-26","MainMenuController","difficultySelect","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-26","MainMenuController","timeSelect","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-26","MainMenuController","continueBtnDisable","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-26","CauldronRoomController","handleClickBooks","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-04","FinalBossController","setNextImage","Switch Complexity","LOW","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-04","FinalBossController","damagedMonster","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-04","MathQuestion","generateOperator","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-04","StartScreenController","hover","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-04","StartScreenController","unhover","Switch Complexity","HIGH","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-04","StartScreenController","setDifficulty","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-04","StartScreenController","setTimer","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","HackerAiManager","initialiseHacker","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-25","GameManager","createGame","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","GameManager","getDifficultyString","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-25","GameManager","completeObjective","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 13 total cases, avg 13.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","GameManager","completeObjective","TypeCheckingChain","MEDIUM","Chained type checks on variable: selectedDoor (6 checks)"
"escaipe-room-beta-and-final-team-25","GameManager","getObjectiveString","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 12 total cases, avg 12.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","TimerControl","formatTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","TimerControl","setTimer","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-25","ChemicalMixingController","onVialClicked","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","ChemicalMixingController","setSliderGraident","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-25","StyleManager","getColourClassForHoverColour","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-25","ConnectDotsController","switchToSecurity","Redundant Override","MEDIUM","Identical to parent method"
"escaipe-room-beta-and-final-team-03","BottomBarController","giveBackstory","Switch Complexity","LOW","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-03","IntroController","setUpLabel","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-27","QuizAnswer","getRandomAnswers","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-27","GptPromptEngineering","getHintPrompt","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-27","GameOverController","","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"escaipe-room-beta-and-final-team-05","GameController","forceHighlightStateTo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-05","NotificationpanelController","selectGeneralNotification","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-05","PopupController","getNextHighlightState","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-05","PuzzleLoader","addToRoom","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-05","ComputerTile","initalizeConnections","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-team-05","HighlightButton","onClick","DefectiveEmptyOverride","HIGH","Empty override disables parent's logic"
"escaipe-room-beta-and-final-team-08","VeryEndController","getPawByIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-08","ChatGeneralController","checkIfEnter","Switch Complexity","LOW","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-08","GptPromptEngineering","askIfTheyNeedHelp","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-08","ChatBasementController","checkIfEnter","Switch Complexity","HIGH","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-08","ShardsCombinationController","getVerticalLineByIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-08","ShardsCombinationController","getRightLineByIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-08","ShardsCombinationController","getLeftLineByIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-08","MainRoomController","getPictureByIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-07","RoomController","updateHintsAllowedLabel","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-07","GameState","chatToDoMessage","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 9 total cases, avg 9.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-07","Riddle","inputHintToAi","Switch Complexity","LOW","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-07","MainMenuController","clickDifficulty","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-09","EndingWinController","outputKeyBackground","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-09","EndingWinController","outputRiddleBackground","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-09","Room2Puzzle2Controller","onKeyPressed","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 26 total cases, avg 26.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-09","Room2Puzzle2Controller","handleKeyPressed","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 10 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-09","Room2Puzzle2Controller","newWord","Switch Complexity","HIGH","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-09","StartController","setDifficultyColour","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-09","StartController","setGameTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-09","StartController","setKey","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-40","ReactionGameController","changeOpacity","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-20","RandRoom2MinigameController","getButtonById","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-20","RandRoom3MinigameController","clickTeeth","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-20","GptPromptEngineering","getAlienContext","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-20","GptPromptEngineering","getIntroduction","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-20","RoomController","showPopup","Switch Complexity","LOW","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-20","GameState","getHint","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 9 total cases, avg 4.5 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-20","ChatController","onKeyPressed","Switch Complexity","HIGH","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-20","MainRoomMinigameController","createPolyline","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-21","LogicGatePuzzleController","compare","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-21","LogicGatePuzzleController","updateActiveBackgrounds","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-21","OptionsMenuController","setTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-21","OptionsMenuController","setDifficulty","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-21","LosingScreenController","initialize","Redundant Override","MEDIUM","Identical to parent method"
"escaipe-room-beta-and-final-team-24","GameState","addItem","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-01","BenchController","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-01","LevelController","onStart","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-01","LevelController","setLevelText","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-01","ChatController","setTypingText","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-15","PipeConnectingController","createGridWaterLeak","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-15","PipeConnectingController","areAdjacentCellsConnected","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-15","PipeConnectingController","getWaterLeakIndex","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-15","StartScreenController","chooseLevel","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-15","GlitchSound;Sound","void play()","Missing Inheritance","HIGH","Classes define same method but do not share superclass or interface"
"escaipe-room-beta-and-final-team-15","GlitchSound;Sound","void stop()","Missing Inheritance","HIGH","Classes define same method but do not share superclass or interface"
"escaipe-room-beta-and-final-team-36","Player","updateMovement","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-36","Passcode","convertToOrdinal","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-36","FrequencyGameController","gameOver","Switch Complexity","HIGH","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-36","GameController","onTalkToHackerPressed","Redundant Override","MEDIUM","Identical to parent method"
"escaipe-room-beta-and-final-team-36","GameController","onChatPressed","Redundant Override","MEDIUM","Identical to parent method"
"escaipe-room-beta-and-final-team-14","SittingRoom1Controller","onKeyPressed","Switch Complexity","HIGH","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-14","GptPromptEngineeringTwo","setHintMode","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-14","GptPromptEngineeringTwo","getRoomInfo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-14","GptPromptEngineeringTwo","getHintString","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-14","GptPromptEngineeringTwo","getRiddleHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-14","MainMenuController","updateModeVisibility","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-14","MainMenuController","updateTimeVisibility","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-17","MusicQuizController","deleteWrongOption","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
